HMDB ID,URL,Common Name,SMILES,InChI Identifier,InChI Key
HMDB36546,https://hmdb.ca/metabolites/HMDB36546,Tin chloride (SnCl4),Cl[Sn](Cl)(Cl)Cl,InChI=1S/4ClH.Sn/h4*1H;/q;;;;+4/p-4,HPGGPRDJHPYFRM-UHFFFAOYSA-J
HMDB36574,https://hmdb.ca/metabolites/HMDB36574,Carbon disulfide,S=C=S,InChI=1S/CS2/c2-1-3,QGJOPFRUJISHPQ-UHFFFAOYSA-N
HMDB37238,https://hmdb.ca/metabolites/HMDB37238,Helium,[He],InChI=1S/He,SWQJXJOGLNCZEY-UHFFFAOYSA-N
HMDB37240,https://hmdb.ca/metabolites/HMDB37240,Argon,[Ar],InChI=1S/Ar,XKRFYHLGVUSROY-UHFFFAOYSA-N
HMDB41827,https://hmdb.ca/metabolites/HMDB41827,Ammonium,[NH4+],InChI=1S/H3N/h1H3/p+1,QGZKDVFQNNGYKY-UHFFFAOYSA-O
HMDB41899,https://hmdb.ca/metabolites/HMDB41899,Gadolinium,[Gd],InChI=1S/Gd,UIWYJDYFSGRHKR-UHFFFAOYSA-N
HMDB42003,https://hmdb.ca/metabolites/HMDB42003,Pyronaridine,COC1=CC=C2NC3=C(C=CC(Cl)=C3)C(N=C3C=C(CN4CCCC4)C(=O)C(CN4CCCC4)=C3)=C2N1,"InChI=1S/C29H32ClN5O2/c1-37-26-9-8-24-28(33-26)27(23-7-6-21(30)16-25(23)32-24)31-22-14-19(17-34-10-2-3-11-34)29(36)20(15-22)18-35-12-4-5-13-35/h6-9,14-16,32-33H,2-5,10-13,17-18H2,1H3",YFYLPWJKCSESGB-UHFFFAOYSA-N
HMDB59597,https://hmdb.ca/metabolites/HMDB59597,Hydrogen Ion,[H+],InChI=1S/p+1,GPRLSGONYQIRFK-UHFFFAOYSA-N
HMDB59634,https://hmdb.ca/metabolites/HMDB59634,I(-),I,InChI=1S/HI/h1H,XMBWDFGMSWQBCA-UHFFFAOYSA-N
HMDB59920,https://hmdb.ca/metabolites/HMDB59920,Peroxydisulfuric acid,OS(=O)(=O)OOS(O)(=O)=O,"InChI=1S/H2O8S2/c1-9(2,3)7-8-10(4,5)6/h(H,1,2,3)(H,4,5,6)",JRKICGRDRMAZLK-UHFFFAOYSA-N
HMDB59921,https://hmdb.ca/metabolites/HMDB59921,Trimetaphosphoric acid,OP1(=O)OP(O)(=O)OP(O)(=O)O1,"InChI=1S/H3O9P3/c1-10(2)7-11(3,4)9-12(5,6)8-10/h(H,1,2)(H,3,4)(H,5,6)",AZSFNUJOCKMOGB-UHFFFAOYSA-N
HMDB61921,https://hmdb.ca/metabolites/HMDB61921,Niobium,[Nb+5],InChI=1S/Nb/q+5,QUWPZPLTANKXAM-UHFFFAOYSA-N
